id,name,subject,grade,marks,spec
162,Chris,History,C,44,minor
163,Carlos,Physics,C,44,minor
164,Chris,Biology,C,44,major
165,Mary,History,A+,100,minor
166,Chris,Mathematics,B,65,minor
167,Chris,Physics,B,65,minor
168,David,Biology,C,44,major
169,David,Mathematics,C,44,major
170,Carlos,Mathematics,C,44,major
171,Chris,Arts,A,98,major
172,David,Mathematics,A,98,major
173,Subir,Physics,A,98,major
174,David,Physics,B,65,major
175,Chris,Mathematics,A+,100,minor
176,Carlos,Arts,B,65,minor
177,John,History,C,44,major
178,Amit,Physics,C,44,minor
179,Amit,Biology,A+,100,major
180,John,History,B,65,minor
181,Chris,History,B,65,minor
182,Mary,Physics,A,98,major
183,John,Mathematics,A,98,major
184,David,Mathematics,A,98,major
185,John,History,C,44,minor
186,Carlos,Arts,A,98,major
187,David,History,C,44,minor
188,Amit,Mathematics,C,44,minor
189,Chris,Mathematics,C,44,minor
190,Carlos,History,A+,100,minor
191,Amit,Arts,B,65,minor
192,Carlos,Arts,A,98,minor
193,David,Mathematics,A+,100,major
194,David,Mathematics,B,65,major
195,Carlos,Physics,B,65,minor
196,David,Mathematics,A+,100,major
197,David,Mathematics,A,98,major
198,David,Mathematics,C,44,minor
199,Subir,Biology,C,44,major
200,John,Arts,C,44,major
201,Mary,Arts,A,98,major
202,Subir,Biology,C,44,minor
203,John,Arts,C,44,major
204,David,Biology,A+,100,major
205,Chris,Mathematics,C,44,major
206,Subir,Arts,C,44,major
207,Amit,Arts,A,98,major
208,Amit,Physics,C,44,major
209,Subir,History,C,44,minor
210,Amit,Biology,C,44,minor
211,David,Physics,A+,100,major
212,David,Biology,A,98,minor
213,John,History,A,98,major
214,Subir,Mathematics,A+,100,minor
215,John,Biology,B,65,minor
216,John,History,C,44,minor
217,Mary,Physics,A+,100,minor
218,John,History,B,65,minor
219,David,Biology,A,98,major
220,Amit,Arts,B,65,major
221,Carlos,Biology,A+,100,major
222,John,Physics,A,98,major
223,Amit,Arts,A,98,major
224,David,Mathematics,B,65,minor
225,David,Biology,A,98,minor
226,Subir,History,A+,100,major
227,Chris,Mathematics,B,65,major
228,Chris,Arts,B,65,major
229,Subir,Mathematics,C,44,minor
230,Carlos,History,B,65,major
231,Amit,History,A,98,major
232,Subir,Mathematics,C,44,major
233,John,Physics,B,65,major
234,Carlos,Physics,C,44,minor
235,David,Biology,A+,100,major
236,David,Physics,B,65,minor
237,John,Mathematics,A,98,minor
238,John,Arts,B,65,major
239,Subir,Biology,C,44,minor
240,John,Physics,C,44,major
241,Amit,Physics,A+,100,major
242,Carlos,Physics,A+,100,minor
243,Carlos,Arts,A+,100,major
244,Chris,Arts,C,44,major
245,Chris,Biology,A,98,minor
246,John,Mathematics,C,44,major
247,Chris,Physics,C,44,major
248,Subir,History,A,98,minor
249,Amit,Arts,C,44,major
250,Mary,Biology,C,44,minor
251,David,Mathematics,A,98,major
252,Subir,Mathematics,A,98,minor
253,Mary,Physics,A+,100,major
254,Carlos,Physics,C,44,minor
255,David,History,A,98,minor
256,John,Physics,B,65,major
257,Carlos,History,A+,100,major
258,Amit,Physics,C,44,minor
259,Carlos,Arts,B,65,major
260,Chris,History,A,98,minor
261,Chris,Biology,A,98,minor
262,Chris,Arts,A+,100,major
263,Mary,History,A+,100,minor
264,Carlos,Arts,B,65,major
265,John,Physics,C,44,major
266,Chris,Mathematics,A+,100,minor
267,Amit,Biology,A,98,minor
268,David,History,A+,100,major
269,Amit,History,C,44,minor
270,John,Mathematics,A,98,minor
271,Amit,Physics,A+,100,major
272,John,History,A,98,major
273,John,Physics,A+,100,major
274,Chris,Biology,A,98,major
275,David,Physics,A,98,major
276,John,Arts,C,44,minor
277,Carlos,Biology,A,98,major
278,Mary,Physics,A+,100,major
279,Amit,History,B,65,major
280,Mary,Physics,B,65,major
281,Amit,History,A+,100,minor
282,Amit,Arts,C,44,major
283,Chris,History,C,44,minor
284,John,Arts,A,98,major
285,Carlos,Arts,A+,100,minor
286,Mary,Physics,A,98,minor
287,Chris,Biology,C,44,minor
288,Mary,Physics,B,65,minor
289,Subir,History,A+,100,major
290,John,Mathematics,B,65,minor
291,Carlos,History,B,65,major
292,Mary,Arts,A,98,major
293,Mary,History,A+,100,minor
294,Chris,Physics,B,65,minor
295,Subir,Arts,A,98,minor
296,Amit,History,A+,100,minor
297,Chris,Mathematics,B,65,minor
298,Chris,History,C,44,minor
299,Carlos,Arts,B,65,minor
300,Chris,History,A+,100,minor
301,David,History,B,65,major
302,David,Arts,A+,100,major
303,Amit,Biology,B,65,major
304,David,Physics,A,98,minor
305,John,Physics,C,44,minor
306,David,Biology,A,98,major
307,Mary,Mathematics,A,98,major
308,Carlos,Mathematics,B,65,minor
309,David,Arts,A+,100,major
310,John,Mathematics,B,65,minor
311,Subir,Physics,B,65,minor
312,David,Biology,C,44,minor
313,Chris,History,A,98,major
314,Chris,Biology,A,98,minor
315,John,Biology,A,98,minor
316,David,Biology,A,98,major
317,John,History,A,98,minor
318,Chris,Mathematics,A+,100,minor
319,Subir,Arts,C,44,minor
320,Amit,Biology,C,44,minor
321,Chris,History,B,65,minor
322,Chris,Biology,A+,100,major
323,David,Arts,A,98,minor
324,Chris,Arts,C,44,minor
325,Chris,Arts,A,98,major
326,Mary,History,A+,100,major
327,Chris,History,B,65,minor
328,Subir,Mathematics,B,65,minor
329,Chris,Arts,C,44,major
330,Amit,Biology,B,65,major
331,Mary,Physics,A,98,minor
332,John,Physics,A,98,minor
333,Amit,Arts,A,98,minor
334,David,Physics,B,65,major
335,Carlos,Mathematics,C,44,major
336,David,Mathematics,C,44,minor
337,John,Arts,A+,100,minor
338,Mary,Arts,B,65,major
339,Mary,Biology,B,65,major
340,John,Biology,B,65,minor
341,Amit,Physics,A,98,major
342,Amit,History,A+,100,minor
343,John,Mathematics,B,65,major
344,David,Arts,A+,100,minor
345,Amit,Mathematics,A,98,major
346,Carlos,History,A,98,minor
347,David,Biology,A+,100,minor
348,David,Arts,B,65,major
349,Amit,Physics,B,65,major
350,John,Arts,B,65,minor
351,Mary,Biology,C,44,major
352,Mary,Physics,A+,100,minor
353,Carlos,History,B,65,major
354,Subir,Mathematics,A+,100,major
355,Carlos,History,A,98,major
356,Amit,Physics,A+,100,major
357,Amit,Physics,C,44,major
358,Amit,History,C,44,major
359,John,Biology,B,65,minor
360,Chris,History,B,65,major
361,John,Arts,A,98,major
362,Subir,Biology,A+,100,major
363,Carlos,History,C,44,minor
364,Amit,Mathematics,C,44,minor
365,Amit,Arts,A+,100,minor
366,Amit,Biology,A,98,minor
367,Chris,History,A+,100,minor
368,Chris,Mathematics,C,44,minor
369,Carlos,Biology,C,44,minor
370,Subir,Arts,B,65,minor
371,Carlos,Physics,C,44,minor
372,Chris,History,A+,100,minor
373,Chris,Arts,C,44,minor
374,Mary,Biology,C,44,major
375,Chris,History,B,65,major
376,Mary,History,B,65,major
377,John,Biology,B,65,minor
378,John,Arts,C,44,major
379,John,Physics,A,98,minor
380,David,History,A,98,minor
381,David,Mathematics,C,44,minor
382,Carlos,Arts,C,44,minor
383,Chris,Biology,C,44,minor
384,Chris,Biology,A,98,minor
385,Subir,Physics,C,44,major
386,Chris,Mathematics,A,98,minor
387,Amit,Arts,A+,100,minor
388,Subir,Physics,B,65,major
389,Subir,Arts,A,98,minor
390,Mary,History,C,44,minor
391,Subir,Physics,A+,100,major
392,John,Mathematics,A+,100,minor
393,Mary,Mathematics,A+,100,minor
394,Carlos,History,B,65,major
395,John,Biology,A+,100,minor
396,Chris,Mathematics,B,65,major
397,Chris,Biology,C,44,minor
398,Carlos,Mathematics,A+,100,major
399,David,Biology,A,98,minor
400,Amit,Arts,A,98,major
401,David,History,A+,100,minor
402,Chris,History,A,98,major
403,David,Biology,A,98,minor
404,Subir,Arts,B,65,minor
405,David,Mathematics,B,65,major
406,Chris,History,C,44,minor
407,David,Mathematics,B,65,major
408,Subir,History,C,44,minor
409,Carlos,Physics,A,98,minor
410,Mary,Arts,C,44,major
411,Mary,History,B,65,major
412,Subir,Mathematics,A,98,minor
413,Mary,Biology,C,44,major
414,Subir,Physics,A+,100,major
415,Subir,Mathematics,A+,100,major
416,Carlos,History,A+,100,major
417,Amit,Arts,A,98,minor
418,Mary,Arts,C,44,minor
419,Carlos,Biology,B,65,major
420,David,History,A,98,minor
421,Chris,Physics,C,44,major
422,Amit,Physics,B,65,minor
423,Carlos,Biology,C,44,minor
424,Carlos,Mathematics,C,44,minor
425,Mary,Arts,C,44,major
426,Chris,Biology,A+,100,minor
427,Carlos,Mathematics,C,44,major
428,Carlos,Mathematics,A+,100,minor
429,John,Mathematics,A,98,major
430,David,Physics,A+,100,major
431,Amit,Arts,C,44,minor
432,Amit,History,A,98,major
433,Carlos,History,A,98,major
434,Chris,Physics,A+,100,major
435,Amit,Mathematics,A,98,minor
436,Amit,Arts,A+,100,major
437,Subir,History,A,98,major
438,Mary,Mathematics,B,65,minor
439,Mary,Physics,A+,100,minor
440,John,History,B,65,minor
441,Carlos,History,A+,100,major
442,David,Biology,A,98,major
443,Carlos,Arts,C,44,major
444,Chris,Mathematics,A,98,minor
445,Mary,Mathematics,A,98,minor
446,John,History,A,98,major
447,Carlos,History,A+,100,minor
448,John,Physics,B,65,major
449,David,Mathematics,B,65,major
450,Amit,Arts,A,98,minor
451,Chris,Biology,C,44,major
452,Carlos,Biology,A+,100,major
453,Carlos,History,B,65,minor
454,John,Biology,A+,100,major
455,Amit,Arts,B,65,minor
456,Carlos,Arts,A+,100,major
457,Mary,Physics,B,65,major
458,Mary,Biology,B,65,major
459,Chris,Physics,A,98,minor
460,Subir,Mathematics,C,44,minor
461,David,Arts,A,98,minor
462,Mary,Physics,A+,100,major
463,Carlos,History,A,98,minor
464,David,Physics,B,65,minor
465,Subir,Physics,A+,100,minor
466,John,History,A,98,minor
467,David,Physics,A+,100,minor
468,Carlos,Arts,C,44,minor
469,Carlos,Arts,A,98,minor
470,Mary,Physics,B,65,minor
471,Amit,History,A+,100,minor
472,Chris,Biology,B,65,major
473,Subir,Biology,B,65,major
474,Chris,Physics,A+,100,major
475,Amit,Arts,A+,100,major
476,David,Biology,B,65,minor
477,David,Arts,B,65,major
478,Chris,History,C,44,minor
479,Amit,Arts,C,44,minor
480,Amit,Mathematics,A,98,minor
481,David,Arts,B,65,major
482,Carlos,History,B,65,minor
483,John,Biology,C,44,minor
484,Subir,History,C,44,minor
485,David,Arts,A+,100,major
486,Amit,Arts,B,65,minor
487,Mary,Biology,C,44,minor
488,Carlos,Arts,A,98,minor
489,Mary,Arts,A,98,major
490,Subir,Arts,C,44,minor
491,Subir,Biology,C,44,major
492,Subir,Mathematics,A,98,major
493,Carlos,Physics,A+,100,minor
494,Carlos,History,A,98,minor
495,Carlos,Physics,A+,100,minor
496,Subir,History,A,98,major
497,Chris,History,C,44,major
498,David,History,A,98,minor
499,Subir,History,A,98,major
500,Carlos,Mathematics,A+,100,minor
501,Carlos,Physics,A,98,major
502,John,Mathematics,C,44,major
503,Mary,Mathematics,C,44,minor
504,David,History,A,98,major
505,Subir,Physics,B,65,minor
506,Chris,Biology,A+,100,major
507,Amit,Biology,B,65,major
508,Mary,Physics,C,44,major
509,Subir,Mathematics,B,65,major
510,Subir,Biology,A+,100,major
511,Carlos,Arts,A+,100,minor
512,Mary,Arts,A,98,minor
513,John,Physics,C,44,minor
514,David,Physics,A+,100,minor
515,John,Mathematics,A,98,major
516,Subir,History,A+,100,minor
517,John,Physics,A+,100,minor
518,Amit,Physics,A,98,minor
519,Carlos,History,A+,100,major
520,Subir,Biology,A,98,minor
521,David,Physics,C,44,major
522,Mary,Arts,B,65,major
523,Chris,History,C,44,minor
524,Amit,Physics,C,44,minor
525,David,Biology,C,44,major
526,David,Physics,A+,100,minor
527,Subir,Arts,B,65,major
528,Amit,Biology,A+,100,minor
529,Amit,Physics,A+,100,minor
530,Mary,History,A,98,minor
531,Amit,Mathematics,C,44,major
532,David,Biology,A,98,minor
533,Mary,Arts,A+,100,major
534,David,Physics,C,44,major
535,Chris,Biology,B,65,major
536,Subir,Biology,A+,100,major
537,Subir,History,A,98,major
538,Carlos,History,C,44,minor
539,John,History,B,65,minor
540,David,Physics,B,65,major
541,Subir,History,B,65,minor
542,Chris,Physics,B,65,major
543,Carlos,Mathematics,A+,100,major
544,David,Mathematics,A+,100,major
545,Amit,History,C,44,major
546,Mary,Arts,B,65,major
547,David,Arts,C,44,major
548,Chris,Arts,A+,100,major
549,Chris,Physics,A,98,major
550,Amit,Arts,A,98,minor
551,Amit,History,C,44,major
552,David,Arts,A+,100,major
553,Subir,Physics,A+,100,minor
554,John,Arts,A+,100,major
555,Amit,Mathematics,A,98,minor
556,John,Mathematics,A+,100,major
557,Mary,Biology,A,98,major
558,Carlos,Mathematics,B,65,minor
559,Carlos,Mathematics,B,65,minor
560,Mary,History,A+,100,major
561,Mary,Arts,C,44,minor
562,Mary,Mathematics,A+,100,major
563,Carlos,Mathematics,A+,100,minor
564,Subir,Physics,A,98,major
565,David,Physics,C,44,major
566,Amit,Biology,C,44,major
567,Amit,Mathematics,B,65,minor
568,Chris,Physics,C,44,minor
569,John,Mathematics,C,44,major
570,Chris,Physics,B,65,major
571,Carlos,Physics,A,98,major
572,Mary,Mathematics,A,98,major
573,Subir,History,A,98,minor
574,Subir,Arts,C,44,minor
575,Mary,History,A+,100,minor
576,John,Physics,B,65,major
577,David,Physics,C,44,major
578,Chris,Biology,A,98,minor
579,John,Mathematics,A,98,major
580,Subir,Arts,A,98,minor
581,Subir,History,A,98,major
582,John,History,A+,100,major
583,David,Physics,A,98,minor
584,Mary,Biology,B,65,minor
585,Chris,Biology,A+,100,major
586,Carlos,Physics,A,98,minor
587,John,Arts,A+,100,minor
588,Amit,Physics,A,98,minor
589,Chris,Arts,A+,100,major
590,David,Biology,C,44,minor
591,Carlos,Mathematics,C,44,minor
592,John,Mathematics,A+,100,major
593,David,History,C,44,minor
594,John,Physics,C,44,minor
595,Subir,History,A,98,major
596,Chris,Biology,A+,100,major
597,John,Arts,B,65,major
598,Amit,Mathematics,A,98,minor
599,Carlos,History,B,65,major
600,Mary,History,A+,100,minor
601,Mary,History,C,44,major
602,Subir,Biology,B,65,major
603,Subir,History,C,44,minor
604,Subir,Mathematics,A,98,major
605,Mary,Arts,A,98,major
606,Carlos,Physics,A,98,major
607,Carlos,Biology,A+,100,major
608,Mary,Physics,B,65,major
609,Mary,History,C,44,minor
610,Mary,History,A+,100,minor
611,Carlos,Mathematics,A,98,minor
612,Amit,Physics,A,98,minor
613,Chris,Arts,A,98,major
614,David,History,B,65,major
615,Chris,Physics,B,65,minor
616,David,Physics,A+,100,minor
617,Chris,Arts,C,44,major
618,David,Mathematics,A,98,minor
619,Subir,Physics,B,65,major
620,David,Biology,B,65,minor
621,Mary,Arts,A+,100,minor
622,Amit,Biology,A+,100,major
623,Amit,Mathematics,B,65,minor
624,Amit,History,C,44,minor
625,Subir,Biology,C,44,major
626,Chris,Physics,A,98,major
627,Chris,History,A+,100,minor
628,John,History,B,65,minor
629,John,Arts,A,98,minor
630,Amit,Mathematics,A,98,minor
631,Mary,Arts,B,65,major
632,David,Physics,A+,100,major
633,Mary,Biology,B,65,minor
634,Mary,History,C,44,minor
635,Chris,Physics,A+,100,major
636,John,Biology,C,44,minor
637,Chris,Biology,A,98,minor
638,David,Biology,C,44,major
639,John,History,A,98,major
640,Amit,Arts,C,44,major
641,Carlos,Mathematics,A+,100,minor
642,Mary,History,B,65,minor
643,John,Biology,C,44,minor
644,Mary,Mathematics,A+,100,minor
645,Chris,Mathematics,C,44,major
646,David,Mathematics,A+,100,major
647,Chris,Arts,A,98,minor
648,John,Physics,B,65,major
649,Carlos,Physics,A,98,major
650,Mary,Mathematics,C,44,minor
651,John,Physics,A+,100,minor
652,Chris,Physics,A+,100,minor
653,Chris,Biology,A,98,major
654,Mary,Biology,A+,100,minor
655,Mary,Physics,B,65,major
656,Carlos,Arts,A,98,minor
657,John,Biology,A+,100,minor
658,Amit,Arts,C,44,major
659,David,Arts,A,98,minor
660,Carlos,Physics,A,98,major
661,Mary,Biology,A,98,minor
662,Chris,History,C,44,minor
663,Subir,Biology,C,44,minor
664,John,History,A,98,major
665,David,Physics,B,65,major
666,John,History,A+,100,major
667,David,Arts,C,44,major
668,Amit,History,B,65,minor
669,Subir,Biology,A+,100,major
670,Mary,Biology,A+,100,major
671,Mary,History,A+,100,major
672,Chris,History,B,65,major
673,Amit,Arts,A,98,major
674,Carlos,Biology,B,65,major
675,Subir,Biology,B,65,minor
676,David,Mathematics,A,98,minor
677,Chris,History,C,44,minor
678,Subir,Biology,C,44,minor
679,David,Arts,A+,100,major
680,Chris,Mathematics,C,44,minor
681,Carlos,History,A,98,minor
682,David,Physics,B,65,minor
683,Subir,Arts,C,44,minor
684,Subir,History,B,65,major
685,Carlos,Arts,B,65,major
686,Carlos,Arts,B,65,minor
687,Amit,Biology,C,44,minor
688,Chris,History,B,65,minor
689,David,History,A,98,minor
690,Carlos,Mathematics,A,98,minor
691,Carlos,Biology,C,44,minor
692,David,Physics,A,98,minor
693,Subir,Physics,C,44,major
694,Chris,Physics,A,98,minor
695,Subir,Biology,A+,100,major
696,Subir,Arts,A,98,minor
697,Mary,Arts,C,44,minor
698,Chris,History,C,44,major
699,John,Arts,C,44,major
700,Amit,Arts,B,65,major
701,Subir,History,C,44,major
702,Amit,Mathematics,A+,100,major
703,Mary,Mathematics,A,98,major
704,Mary,Arts,A,98,minor
705,Amit,Arts,A,98,minor
706,Carlos,History,C,44,minor
707,David,Physics,A+,100,major
708,Subir,Arts,A+,100,major
709,Chris,Mathematics,A+,100,minor
710,Carlos,Arts,A+,100,major
711,Mary,Biology,A,98,major
712,Chris,Biology,C,44,major
713,John,History,B,65,minor
714,John,Physics,A,98,major
715,Subir,Mathematics,A,98,minor
716,Chris,Physics,A,98,minor
717,David,Biology,A,98,major
718,Subir,History,C,44,major
719,Chris,Mathematics,A,98,major
720,John,Arts,A+,100,major
721,Chris,History,A,98,major
722,Carlos,Mathematics,A,98,minor
723,Amit,Mathematics,A,98,minor
724,Carlos,Mathematics,B,65,minor
725,Mary,Biology,A+,100,major
726,Carlos,Biology,C,44,minor
727,Amit,History,A+,100,minor
728,Chris,Mathematics,A+,100,minor
729,John,Biology,A+,100,minor
730,Amit,History,B,65,major
731,John,History,A+,100,minor
732,Chris,History,A,98,minor
733,John,Physics,B,65,minor
734,John,Mathematics,C,44,minor
735,Mary,Physics,C,44,minor
736,Chris,Physics,A+,100,major
737,Amit,Mathematics,A,98,minor
738,Mary,Mathematics,A+,100,major
739,Subir,Physics,A+,100,major
740,Chris,Mathematics,A,98,minor
741,David,Arts,A,98,minor
742,Amit,Physics,A+,100,minor
743,Chris,Arts,A+,100,major
744,Chris,Arts,A+,100,minor
745,Carlos,Biology,A,98,major
746,Mary,Physics,C,44,minor
747,Carlos,Biology,A,98,minor
748,Subir,Mathematics,C,44,minor
749,Amit,Biology,C,44,minor
750,Amit,Arts,A,98,minor
751,David,History,A+,100,major
752,Amit,Mathematics,C,44,minor
753,Carlos,Biology,A,98,major
754,Mary,Physics,B,65,major
755,Carlos,Mathematics,A,98,major
756,Carlos,Physics,A,98,major
757,David,Mathematics,C,44,major
758,Mary,History,B,65,minor
759,John,History,C,44,minor
760,Amit,History,B,65,major
761,Carlos,History,C,44,minor
762,Carlos,Physics,A,98,minor
763,Amit,Mathematics,B,65,minor
764,Carlos,Physics,C,44,major
765,Subir,Physics,A+,100,major
766,Amit,Physics,A,98,minor
767,John,Arts,A+,100,major
768,Amit,Arts,A+,100,major
769,John,Mathematics,C,44,major
770,Chris,Mathematics,A,98,minor
771,John,Mathematics,C,44,minor
772,Mary,Biology,A,98,major
773,David,Physics,C,44,major
774,Carlos,History,A+,100,minor
775,Amit,Physics,B,65,major
776,John,Arts,A+,100,major
777,Mary,Mathematics,A+,100,minor
778,David,Physics,B,65,major
779,David,Mathematics,C,44,major
780,Mary,Arts,A+,100,minor
781,Amit,Arts,B,65,minor
782,Amit,Arts,B,65,major
783,Mary,History,C,44,major
784,Amit,Arts,A,98,minor
785,Chris,Arts,A,98,major
786,Subir,Mathematics,C,44,major
787,Carlos,Arts,A+,100,minor
788,David,History,A+,100,minor
789,Amit,History,C,44,minor
790,Carlos,Arts,C,44,minor
791,John,Mathematics,A+,100,minor
792,Amit,Mathematics,A+,100,major
793,Subir,Mathematics,A,98,major
794,John,History,A+,100,minor
795,John,Arts,A,98,major
796,Chris,History,C,44,major
797,John,Mathematics,A+,100,minor
798,Amit,Arts,C,44,minor
799,Subir,Physics,B,65,major
800,Subir,History,B,65,major
801,Amit,Mathematics,A,98,minor
802,David,Physics,B,65,minor
803,Mary,Physics,B,65,minor
804,Carlos,Mathematics,A,98,minor
805,Subir,Mathematics,A+,100,minor
806,Subir,Physics,B,65,minor
807,Subir,Arts,C,44,major
808,Mary,Arts,B,65,minor
809,David,Biology,C,44,major
810,Carlos,Physics,B,65,minor
811,John,Biology,A+,100,minor
812,David,Arts,A+,100,minor
813,Mary,Biology,A,98,major
814,John,Mathematics,B,65,major
815,David,Biology,C,44,minor
816,Chris,Mathematics,C,44,major
817,Subir,History,A,98,minor
818,Carlos,Arts,C,44,major
819,Amit,History,A+,100,major
820,David,Biology,A+,100,major
821,Carlos,Physics,C,44,major
822,David,Physics,A+,100,minor
823,Chris,Physics,C,44,minor
824,John,Physics,A,98,minor
825,Subir,History,A+,100,minor
826,Subir,Biology,B,65,major
827,Subir,Biology,B,65,minor
828,Amit,History,A,98,major
829,John,Mathematics,B,65,major
830,Chris,Mathematics,B,65,major
831,Amit,Arts,B,65,major
832,David,History,A,98,minor
833,Mary,Mathematics,C,44,major
834,Subir,Mathematics,A,98,major
835,Subir,Arts,C,44,minor
836,Mary,Mathematics,C,44,major
837,Subir,Biology,A,98,major
838,Subir,Arts,A+,100,major
839,David,Mathematics,A,98,minor
840,Amit,Mathematics,C,44,major
841,Subir,Biology,B,65,major
842,John,Physics,A,98,minor
843,Subir,Mathematics,C,44,major
844,Subir,History,A,98,minor
845,David,History,C,44,minor
846,Mary,Mathematics,A,98,minor
847,Chris,Mathematics,A+,100,major
848,Amit,Mathematics,C,44,minor
849,Carlos,Physics,A+,100,major
850,Amit,Mathematics,C,44,minor
851,Mary,Arts,A+,100,major
852,Carlos,Arts,A,98,minor
853,John,Mathematics,B,65,major
854,Carlos,History,C,44,major
855,Subir,Arts,A+,100,major
